hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,label,
-57.33643,-15.99426,-35.88257,-0.9578753,-2.143402,1.627808,sidetoside,
278.1311,22.11304,121.8536,-6.251225,-2.306061,16.68213,sidetoside,
-147.0764,-22.57233,-80.86548,-3.850877,-1.314545,-3589.362,sidetoside,
-161.4624,-10.58044,-70.38269,-2.233231,1.803589,6.955067,sidetoside,
36.34644,6.956482,17.35535,-3.068557,2.489014,9.534723,sidetoside,
-77.83813,-18.11066,-25.37842,-1.6641,2.878113,5.762935,sidetoside,
-0.5065918,-0.970459,0.378418,-1.695385,2.87384,5.769544,sidetoside,
26.25122,5.462646,28.95508,-1.827823,5.819702,8.870149,sidetoside,
-37.3291,-8.180237,-25.74158,-0.8822417,3.783875,5.167637,sidetoside,
13.39111,27.51465,27.95715,1.258131,10.57053,16.16402,sidetoside,
-22.34497,-14.21967,-21.22192,1.128833,8.130798,12.55879,sidetoside,
-14.03809,-0.3509521,-35.77881,1.474285,5.345917,9.804096,sidetoside,
2.227783,-1.409912,-18.22815,1.852748,4.89151,10.08471,sidetoside,
-9.112549,-1.325989,-17.34924,1.294394,3.43399,7.283058,sidetoside,
-4.296875,0.3387451,-1.953125,1.123583,3.026428,6.518574,sidetoside,
-18.45093,4.852295,-16.99829,1.25205,3.500671,7.177858,sidetoside,
-14.95972,-8.459473,4.342651,0.7696915,2.173157,4.173422,sidetoside,
-15.88135,-0.8270264,4.51355,1.945915,0.4971313,1.24321,sidetoside,
1.898193,-10.94971,17.15698,2.085664,-1.199036,-1.883125,sidetoside,
-7.354736,-1.768494,13.81836,2.154796,-2.056427,-2.067509,sidetoside,
-26.78223,5.813599,46.55457,2.676191,-5.166168,-3.211861,sidetoside,
-24.8291,-3.126526,27.6947,3.788939,-7.689819,-3.093185,sidetoside,
6.92749,-6.958008,15.30457,3.691144,-7.919312,-0.5670166,sidetoside,
8.203125,-1.629639,-8.050537,3.333554,-7.232056,-0.4092884,sidetoside,
-86.00464,-30.21851,92.82227,6.532178,-13.59436,5.591345,sidetoside,
49.40186,10.32257,-54.3396,4.554925,-9.144287,4.157696,sidetoside,
-292.7368,-35.95886,246.8109,15.83772,-21.88477,25.04362,sidetoside,
150.6042,10.82001,-143.4845,10.16343,-13.34747,15.39745,sidetoside,
91.04614,-31.3446,-108.7799,6.672564,-3.773193,8.65099,sidetoside,
